	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
1L25-4	25.0		19.0	0.1	5550000000.0	25600000.0		
1L25-5	25.0		13.5	0.1	5940000000.0	30300000.0		
1L25-6	25.0		14.0	0.1	5660000000.0	34300000.0		
1L25-7	24.18		14.0	0.1	4900000000.0	30800000.0		
1L25-8	25.0		14.1	0.1	4680000000.0	34100000.0		
1L26-1	24.45		16.5	0.1	7920000000.0	38400000.0		
1L26-2	25.0		16.0	0.1	11100000000.0	30900000.0		
1L26-3	22.03		8.7	0.1	6890000000.0	25400000.0		
1L26-4	21.85		12.0	0.1	6640000000.0	27300000.0		
1L26-5	24.4		15.4	0.1	8370000000.0	32900000.0		
1L26-6	25.0		11.0	0.1	10400000000.0	25500000.0		
1L26-7	25.0		14.0	0.1	9630000000.0	22600000.0		
1L26-8	21.6		13.0	0.1	3960000000.0	29400000.0		
