	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
2L17-8	11.4		8.7	0.063	1740000000.0	8380000.0	8.202	0.656
2L18-1	14.0		14.0	0.07	3950000000.0	5440000.0		
2L18-2	12.8	0.7	9.1	0.082	4720000000.0	8600000.0	11.187	1.282
2L18-3	14.0		9.95	0.094	2710000000.0	8100000.0	14.229	0.869
2L18-4	12.5		12.5	0.095	4180000000.0	8000000.0	10.719	1.14
2L18-5	10.8		10.8	0.088	4330000000.0	8000000.0	9.408	1.523
2L18-6	7.5		3.0	0.084	4310000000.0	8000000.0	2.322	0.402
2L18-7	13.3		9.5	0.08	1090000000.0	8300000.0	11.77	1.326
2L18-8	14.0		10.5	0.086	3580000000.0	8200000.0		
2L19-1	9.7		9.7	0.066	4220000000.0	6150000.0	8.702	2.008
2L19-2	11.1	0.3	11.1	0.13	3840000000.0	8180000.0	9.459	1.266
2L19-3	11.9		11.9	0.15	3360000000.0	6450000.0	9.419	0.839
2L19-4	9.9		9.9	0.158	4530000000.0	8200000.0	8.324	1.329
2L19-5	11.0		11.0	0.09	4290000000.0	7400000.0	9.553	1.469
2L19-6	7.6		7.6	0.057	3220000000.0	5430000.0	6.547	2.021
2L19-7	12.1		8.7	0.118	3790000000.0	8140000.0	10.37	1.205
2L19-8	12.1		12.1	0.123	3850000000.0	8550000.0	9.692	0.852
2L20-1	11.6		11.6	0.054	3060000000.0	5840000.0	9.652	1.069
2L20-2	12.5		9.0	0.09	2870000000.0	10100000.0	11.114	1.546
2L20-3	10.6		6.9	0.109	3520000000.0	5990000.0	9.276	1.541
2L20-4	8.7		8.7	0.054	3670000000.0	6690000.0	7.423	1.652
2L20-5	11.1		11.1	0.075	5950000000.0	7650000.0	9.407	1.216
2L20-6	11.1		11.1	0.063	1720000000.0	6510000.0	9.745	1.533
2L20-7	8.0		8.0	0.055	3450000000.0	6510000.0	6.762	1.713
2L20-8	10.9		10.9	0.067	3780000000.0	8290000.0	8.861	1.008
2L21-1	10.1		6.913	0.084	4120000000.0	5000000.0	8.378	1.229
2L21-2	8.6		5.767	0.132	3930000000.0	5300000.0	7.16	1.41
2L21-3	10.0		10.0	0.162	4380000000.0	5300000.0	8.354	1.262
2L21-4	10.3		10.3	0.146	5590000000.0	5100000.0	8.615	1.252
2L21-5	14.0		5.8	0.103	7200000000.0	5200000.0		
2L21-6	12.7		12.7	0.101	1910000000.0	5800000.0		
2L21-7	10.6	0.8	10.6	0.133	2740000000.0	6000000.0	9.9	3.025
2L21-8	12.0		12.0	0.154	4010000000.0	5700000.0	11.274	2.777
2L22-1	21.08		12.5	0.1	5300000000.0	33200000.0		
2L22-2	19.35		16.0	0.1	5960000000.0	41600000.0		
2L22-3	24.18		17.85	0.1	6680000000.0	59500000.0		
2L22-4	22.6		17.0	0.1	4710000000.0	59100000.0		
2L22-5	24.45		12.0	0.1	8710000000.0	47300000.0		
2L22-6	20.93		12.0	0.1	5130000000.0	58600000.0		
2L22-7	19.63		12.0	0.1	6210000000.0	54800000.0		
2L22-8	25.0		12.0	0.1	8050000000.0	55800000.0		
2L23-1	21.78		17.3	0.1	6910000000.0	34700000.0		
2L23-2	21.5		16.0	0.1	6380000000.0	25100000.0		
2L23-3	22.4		17.5	0.1	7310000000.0	28100000.0		
2L23-4	21.33		15.0	0.1	4590000000.0	22800000.0		
2L23-5	21.85		16.0	0.1	6960000000.0	22000000.0		
2L23-6	20.25		16.5	0.1	5970000000.0	31400000.0		
2L23-7	20.63		14.8	0.1	6200000000.0	27500000.0		
2L23-8	23.33		15.0	0.1	4990000000.0	25000000.0		
2L24-1	21.18		14.0	0.1	6450000000.0	23300000.0		
